source_lang,target_lang,source_text,target_text
fr,dua,"DE QUOI parlent les journaux ? De quoi entendez-​vous parler à la télévision et à la radio ? De crimes, de guerres et de terrorisme. Et peut-être que vous-​même vous souffrez parce que vous êtes malade ou parce que quelqu’un que vous aimez est mort.","O LANGI te̱ ńuspepa, wombwa television, to̱so̱ o senga mibia o radio, o me̱ne̱, o senga pe̱ jita la myango m’ebwan, bila, na njo ninde̱ne̱. Pondapo̱ we o taka ońolana we o boa to̱so̱ ná o bo̱lo̱ne̱ ńandolo."
fr,dua,Réfléchissez à ces questions :,Baise̱ o wame̱ne̱ ná:
fr,dua,Dieu voulait-​il cela pour moi et pour ma famille ?,"Mo̱, nika nde Yehova a mapuleano̱ mba na mbia mam e?"
fr,dua,Où trouver de l’aide pour faire face à mes problèmes ?,We̱ni neno̱ ná na so̱ jongwane̱ o lembe̱ mitakisan mam e?
fr,dua,Y aura-​t-​il un jour la paix sur la terre ?,"Mo̱, musango ma mbale̱ mwe ná mu be̱ buńa bō̱ e?"
fr,dua,La Bible apporte des réponses convaincantes à ces questions.,Bibe̱l e mabola malabe̱ weno̱ ná o dube̱ jombwea mi myuedi.
fr,dua,"Les humains ne souffriront plus, ils ne vieilliront plus et ils ne mourront plus ( ).","Bato ba si me̱nde̱ pe̱ bwa ndutu, duna, to̱so̱ wo̱.​—"
fr,dua,« Le boiteux bondira comme le cerf » ( ).,“Ńam’boko a me̱nde̱ sobe̱le̱ ka mbudi.”​—
fr,dua,Les aveugles retrouveront la vue ( ).,“Miso̱ ma bandima ma me̱nde̱ wutea.”​—
fr,dua,Les morts seront ramenés à la vie ( ).,Bawedi ba me̱nde̱ pe̱te̱ timba o longe̱.​—
fr,dua,Plus personne ne sera malade ( ).,To̱ moto a si me̱nde̱ pe̱ boa.​—
fr,dua,Tous les humains auront à manger en abondance ( ).,Moto te̱ o wase a me̱nde̱ be̱ne̱ tut’a da.​—
fr,dua,Vous pourriez penser que les promesses qui sont décrites aux pages 4 et 5 de ce livre ne sont qu’un beau rêve. Mais Dieu promet de les réaliser très bientôt. La Bible explique comment il va le faire.,"E me̱nde̱ be̱ lambo di bo̱bi o jo̱nge̱le̱ ná nje o langino̱ o mapapa maboso ma nin kalati ye nde mambo ma ndo̱ti. Nde Loba a kakane̱ ná a mawana man mawengisan o wase son a ponda, Bibe̱l e mabola beteledi ba ne̱ni a me̱nde̱no̱ bola nika."
fr,dua,Mais elle fait plus que cela : elle nous dit aussi comment être vraiment heureux dès maintenant. Pensez à ce qui vous inquiète en ce moment. Est-​ce une mauvaise santé ? Des problèmes familiaux ? Des problèmes d’argent ? Quelqu’un que vous aimez est-​il mort ? La Bible peut vous aider à faire face à ces difficultés. Elle donne aussi des réponses consolantes à ces questions :,"Nde, Bibe̱l e si mabola buka te̱ beteledi ba nika. E malangwea pe̱ biso̱ nje jangame̱nno̱ bola ná di be̱ne̱ bonam ba mbale̱ na bwane̱ pe̱ longe̱ muńe̱nge̱ tatan. Dutea te̱ jombwea mambo mena ma matakise̱ wa. Pondapo̱ nika ńe ná e be̱ bekwali ba mo̱ni to̱so̱ ba mbia, si be̱ne̱ la ja la bwam, to̱so̱ kwed’a ńandolo. Bibe̱l ńe ná ńongwane̱ wa o lembe̱ min mitakisan, ńe pe̱ ná e lo̱ko̱ wa tongwea na bola wa malabe̱ ma myuedi ka min:"
fr,dua,Pourquoi souffrons-​nous ?,Ońola nje di matakano̱ e?
fr,dua,Comment faire face à nos problèmes ?,Ne̱ni jeno̱ ná di lembe̱ mitakisan masu e?
fr,dua,Comment notre famille peut-​elle être heureuse ?,"Mo̱, ndabo asu ńa mbia ńe ná e be̱ bonam e?"
fr,dua,Que se passe-​t-​il après la mort ?,Nje e mapo̱ye̱ biso̱ ombusa kwedi e?
fr,dua,Reverrons-​nous un jour les personnes que nous aimons et qui sont mortes ?,"Mo̱, di me̱nde̱ pe̱te̱ je̱ne̱ bandolo basu bawedi e?"
fr,dua,Pourquoi pouvons-​nous être sûrs que Dieu va réaliser tout ce qu’il a promis ?,Ońola nje jeno̱ ná di be̱ mbaki ná Loba a me̱nde̱ bola mambo me̱se̱ a kakanno̱ e?
fr,dua,"Si vous lisez ce livre, c’est que vous voulez savoir ce que la Bible enseigne. Ce livre vous y aidera. Pour chaque paragraphe, il y a des questions qui vous permettront de mieux comprendre la Bible. Des millions de personnes aiment parler de la Bible avec les Témoins de Jéhovah. Nous espérons que cela vous plaira aussi. Que Dieu bénisse les efforts que vous faites pour découvrir ce que la Bible enseigne !",Langa lo̱ngo̱ la nin kalati di malee̱le̱ ná o mapula o bia nje Bibe̱l e mokwe̱le̱no̱. Nin kalati e me̱nde̱ o jongwane̱ wa. Dongo te̱ di be̱n myuedi mena mi me̱nde̱ jongwane̱ wa o bata so̱ṅtane̱ Bibe̱l. Lodun na lodun la bato lo bwane̱ jakwalisane̱ labu na Mboṅ a Yehova jombwea Bibe̱l muńe̱nge̱. Di pite̱ ná mulemlem pe̱ nde e me̱nde̱no̱ be̱ na wa. Loba a namse̱ wa o ni ponda weno̱ o so̱ nje Bibe̱l e mokwe̱le̱no̱ wa!
fr,dua,"LES enfants posent beaucoup de questions. Quand on leur explique quelque chose, ils demandent souvent : « Pourquoi ? » Et quand on essaie de leur répondre, ils demandent encore : « Mais pourquoi ? »","BANA ba mabaise̱ myuedi jita. We ná o bola babo̱ beteledi ba lambo, nde ba baise̱ ka ko̱lo̱ngo̱ne̱ ná, ‘Ońola nje e?’ O we̱ pe̱ te̱ ná o bole babo̱ jalabe̱, be pe̱te̱ ná ba bata baise̱ ná, ‘Nde ońola nje e?’"
fr,dua,"2 Nous nous posons tous des questions. Par exemple : « Qu’est-​ce que je vais manger ? Comment est-​ce que je vais m’habiller ? Qu’est-​ce que je vais acheter ? » Nous nous posons aussi des questions sur la vie et sur l’avenir. Mais quand nous ne trouvons pas les réponses, nous arrêtons souvent de les chercher.","2 E be̱ ná je eso̱mbe̱ to̱ mudun, biso̱ be̱se̱ di mabaise̱ myuedi. Je ná di baise̱ myuedi jombwea nje di me̱nde̱no̱ da, bo̱to̱ to̱so̱ janda. To̱so̱ je ná di baise̱ myuedi ma mweńa jombwea longe̱ nikame̱ne̱ pe̱ na kie̱le̱ ni maye̱. Nde, je ná jese̱le̱ wasa malabe̱ yete̱na di si kusi ma mena ma malondise̱ ńo̱ng’asu."
fr,dua,"3 La Bible répond-​elle aux questions importantes que nous nous posons ? Des gens pensent que oui, mais qu’elle est trop difficile à comprendre. Ils croient que les enseignants ou les chefs religieux sont les seuls qui connaissent les réponses. D’autres ont honte de ne pas connaître les réponses à certaines questions. Et vous, qu’en pensez-​vous ?","3 Mo̱, Bibe̱l e be̱n malabe̱ ma myuedi ma mweńa di mabaise̱no̱ e? Bato bō̱ ba mo̱nge̱le̱ nika, nde ba mo̱nge̱le̱ pe̱ ná Bibe̱l ńe ndutu jita o so̱ṅtane̱. Be ná bo̱nge̱le̱ ná balēdi ba bebasi buka te̱ nde ba bi malabe̱. Bane̱ pe̱ ba mabwa iso̱n jita o jemea ná ba si bi malabe̱. Mo̱, wa o mo̱nge̱le̱ so̱ na nje e?"
fr,dua,"4 Vous voulez certainement connaître la réponse à ces questions : « Quel est le but de la vie ? Que se passe-​t-​il après la mort ? Comment est Dieu ? » Jésus, l’Enseignant le plus connu, a dit : « Continuez à demander, et on vous donnera. Continuez à chercher, et vous trouverez » ( ). Continuez donc à chercher jusqu’à ce que vous trouviez les vraies réponses.","4 Pondapo̱, o mapula kusa malabe̱ ma myuedi ka min: Ońola nje neno̱ o nin wase e? Nje e me̱nde̱ po̱ye̱ mba ke̱ na wedi e? Ne̱ni Loba eno̱ e? Yesu, Mulēdi nu biane̱ jita, a kwali ná: “Benga baise̱, nde di mabolabe̱ bińo̱; benga wasa, nde lo maso̱; benga jumba, nde di matelabe̱le̱ bińo̱.” ( , NW ) O s’ese̱le̱ muwaso natē̱ o so̱ malabe̱ weno̱ ná o lakisane̱."
fr,dua,"5 En effet, si vous « continuez à chercher », vous trouverez les réponses : elles sont dans la Bible ( ). Et elles ne sont pas difficiles à comprendre. Ce que vous apprendrez vous rendra plus heureux et vous donnera un espoir magnifique pour l’avenir. Parlons maintenant d’une question que beaucoup de gens se posent.","5 E, o me̱nde̱ so̱ malabe̱ o Bibe̱l yete̱na o ‘bengi wasa.’ ( ) Ma malabe̱ ma titi ndutu jita o so̱ṅtane̱. Nje o mokwano̱ e me̱nde̱ bola wa o bwane̱ longe̱ muńe̱nge̱ tatan, o be̱ne̱ pe̱ dipita la betańsedi la kie̱le̱ ni maye̱. Jombweye te̱ myuedi mō̱ mena mi pungo jita la bato."
fr,dua,"6 Beaucoup de gens pensent que Dieu ne s’intéresse pas à eux. Ils se disent que, si Dieu s’intéressait aux humains, le monde serait très différent. Partout, il y a des guerres, de la haine et des malheurs. Les humains tombent malades, ils souffrent et ils meurent. Certaines personnes se demandent : « Si Dieu s’intéresse à nous, pourquoi est-​ce qu’il ne met pas fin aux souffrances ? »","6 Bato jita ba mo̱nge̱le̱ ná Loba a si mombwea biso̱. Ba mo̱nge̱le̱ ná, e be̱ te̱ ná Loba a mombwea biso̱ na mbale̱, wase e wusa be̱ diwengisan jita. Di me̱ne̱ bila, bosinga, na ndenge̱ wuma ye̱se̱. Bato ba maboa, ba mataka, ba mawo̱ pe̱. Bō̱ ba mabaise̱ na babo̱me̱ne̱ ná, ‘Yete̱na Loba a mombwea biso̱, ońola nje a si mabo̱le̱no̱ nin take ńe̱se̱ e?’"
fr,dua,"7 Parfois, des chefs religieux font croire aux gens que Dieu est cruel. Quand un malheur arrive, ils disent que c’est Dieu qui l’a voulu. En fait, en disant cela, ils accusent Dieu. Mais la Bible enseigne que Dieu n’est jamais responsable des malheurs . explique qu’il ne met à l’épreuve, ou ne teste, personne par des choses mauvaises. Ce verset dit : « Dans l’épreuve, que personne ne dise : “Je suis en train d’être éprouvé ( testé ) par Dieu.” Car Dieu ne peut pas être éprouvé par des choses mauvaises, et lui-​même n’éprouve personne de cette façon. » Cela veut dire que, même si Dieu n’empêche pas les malheurs, ce n’est jamais lui qui les provoque ( lire ).","7 Ponda iwo̱, badiedi ba bebasi ba mabola ná bato ba dube̱ ná Loba e njo. Mbeu a ńolo ńe̱ne̱ne̱ te̱, ba makwala ná ye nde jemea la Loba; ná a ta a pula ná nika e bolane̱. Ba manuma nde Loba njo̱m ke̱ ba makwala nika. Nde, Bibe̱l e mokwe̱le̱ ná Loba a si mawana bobe tomtom. a makwala ná Loba a si makekise̱ to̱ moto na bobe. A bati pe̱ ná: “Moto a kekisabe̱ te̱, a si kwala ná: Na makekisabe̱ nde na Loba. Ebanja, Loba a titi ná a kekisabe̱ na bobe, to̱ mo̱ pe̱ a si makekise̱ to̱ moto.” Nika e mapula kwala ná to̱ná Loba a diano̱ a mese̱le̱ ná mambo ma bobe me̱ne̱ne̱, a si mabola tomtom ná ma bolane̱. (Langa .) Di duteye te̱."
