source_lang,target_lang,source_text,target_text
fr,dua,Table des matières,Ebambu a mongo
fr,dua,"Présents dans plus de 240 pays et territoires, nous venons de tous horizons ethniques et culturels. Qu’est-​ce qui nous a réunis ? Qui sommes-​nous ?",Je nde bato ba wu o bepolo ba ńai na ńai. Di maso̱be̱ o 240 ba bekombo. Nde nje e lati biso̱ be̱se̱ e? Njika pat’a bato Mboṅ a Yehova yeno̱ e?
fr,dua,"Nous prêchons, c’est bien connu. Mais ce n’est pas tout. En plus, nous nous réunissons dans nos Salles du Royaume pour étudier la Bible et adorer Dieu. Comment se déroulent nos réunions ? Qui peut y assister ?",Ebol’asu a dikalo e biane̱ na be̱se̱. Di mako̱to̱me̱ o Mandabo ma Janea masu o jokwa Bibe̱l na o jowe̱ Loba. Ne̱ni ndongame̱n asu i matombano̱ e? Nja ńe ná ńukea e?
fr,dua,"C’est une organisation religieuse internationale, qui n’a pas pour but de faire des profits financiers. Elle se compose de personnes qui veulent servir Dieu. Comment est-​elle structurée, dirigée et financée ? Fait-​elle vraiment la volonté de Jéhovah ?","Bebokedi basu be longedi nde na bato ba be̱n ńo̱ngi o bolea Loba. O wase ńe̱se̱, di si mawasa muse̱ṅ ma mo̱ni to̱ mō̱. Ne̱ni di diabe̱le̱no̱, di longabe̱no̱, di suabe̱le̱no̱ pe̱ e? Ońola nje jeno̱ mbaki ná, di mabola jemea la Yehova we̱nge̱ e?"
fr,dua,Dieu veut que les humains vivent éternellement heureux et en paix sur une terre transformée en paradis.,Loba a mapula ná di kuse njoaso’a munam na musango o paradisi o wase o bebe be̱se̱!
fr,dua,« Impossible ! » direz-​vous. Mais la Bible affirme que ce sera possible grâce au royaume de Dieu. Dieu veut que tous les humains en sachent plus sur sa volonté et sur son royaume ( ).,"Jita ba mo̱nge̱le̱ ná nika e titi ná e bolane̱. Nde Bibe̱l e malee̱le̱ ná, Janea la Loba di me̱nde̱ bola nika. Ońola nika nde jemea la Loba leno̱ ná bato be̱se̱ bá bie Janea lao na mwano mao ońol’asu.​— ."
fr,dua,Dieu veut notre bien.,Loba a mapula bwam basu.
fr,dua,"Un bon père souhaite ce qu’il y a de mieux pour ses enfants. De même, notre Père céleste veut que nous soyons éternellement heureux ( ). Il promet : « Celui qui fait la volonté de Dieu vivra pour toujours » ( ).","Sango a bana ńa dibie̱ a mawasa bwam bá bana bao. Buka nika, Sango asu ńe o mo̱ń a mabwa ńo̱ngi ná di bwane̱ longe̱ muńe̱nge̱ o bwindea. ( ) A kakane̱ ná “nu nu mabole̱ jemea la Loba a maja nate̱na o bwindea.”​— ."
fr,dua,Dieu veut que nous ‘suivions ses sentiers’.,Loba a mapula ná di bole nje e mabwese̱ mo̱ muńe̱nge̱.
fr,dua,"La Bible révèle que notre Créateur désire nous ‘faire connaître ses chemins’ pour que nous ‘suivions ses sentiers’ ( ). Il a organisé « un peuple pour son nom », afin que sa volonté soit connue sur toute la terre ( ).","Loba a mapula ná jemea lao di biane̱ o wase ńe̱se̱. Ońola nika nde Muweked’asu a mokwe̱le̱no̱ biso̱ mangea mao ná di bole nje e mabwese̱ mo̱ muńe̱nge̱, ka tumba diwo̱ a bokise̱no̱ o bambe̱ dina lao.— ; ​— ."
fr,dua,Dieu veut que nous l’adorions dans l’unité.,Loba a mapula ná jowe̱ mo̱ o mulatako.
fr,dua,"Le vrai culte ne divise pas les gens ; il les unit par un amour sincère ( ). Aujourd’hui, qui apprend à toutes sortes d’hommes et de femmes à servir Dieu dans l’unité ? Découvrez la réponse dans cette brochure.","Jowe̱ te̱ Loba ka ne̱ni a mapulano̱, o mulopo ná nika ńabe biso̱, nika e mabola biso̱ ná di be̱ mulatako, di be̱ne̱ne̱ pe̱ mō̱ na nune̱ ndolo. ( ) Nja o nin we̱nge̱ nu mokwe̱le̱ bato ne̱ni bolea Loba o mulatako e? Nun muna kalati a mabola jalabe̱."
fr,dua,"Combien de Témoins de Jéhovah connaissez-​vous ? Peut-être des voisins, des collègues, des camarades. Ou bien certains qui vous ont abordé pour discuter de la Bible. Qui sommes-​nous vraiment ? Pourquoi parlons-​nous à tous de nos croyances ?","Mboṅ a Yehova i biane̱ jita. Bō̱ be moyo mo̱ngo̱ ma mboa, o mabomane̱ pe̱ bō̱ o don, o ebolo, o esukulu, o nge’a tongo to̱so̱ o nge’a eyidi. Mo̱, o mákwalea na mō̱ ońola Bibe̱l e? Nde ba nja so̱ jeno̱ na mbale̱ e? Ońola nje di mate̱no̱ dikalo e?"
fr,dua,"Nous sommes comme tout le monde. Nous venons de différents contextes sociaux et culturels. Certains d’entre nous pratiquaient une autre religion, alors que d’autres ne croyaient pas en Dieu. Mais, tous, nous avons pris le temps d’examiner soigneusement les enseignements bibliques ( ). Ce que nous avons appris nous a convaincus. Nous avons donc décidé personnellement d’adorer Jéhovah Dieu.","Je nde ka bane̱ bato be̱se̱. Kana o eyidi myele meno̱ ńai na ńai, Mboṅ a Yehova i be̱n ńai na ńai a bete̱medi. Bō̱ ba si ta bowe̱ Loba, bape̱pe̱ ba wu o bebasi. Nde mō̱ na mō̱ ńasu te̱ emedi o wasa belēdi ba Bibe̱l, obiana di mabe̱ Mboṅ a Yehova. ( ) Nje jokono̱ e tapi biso̱ o mulema, na biso̱ di po̱so̱ esibe̱ mińakisan o jowe̱ Yehova Loba."
fr,dua,"Notre étude de la Bible nous apporte beaucoup. Nous avons des problèmes et des faiblesses comme tout le monde. Mais, en nous efforçant d’appliquer quotidiennement les principes bibliques, nous avons constaté une nette amélioration de notre qualité de vie ( ). C’est entre autres pour cela que nous parlons des belles choses que nous avons découvertes dans la Bible.","Jokwa la Bibe̱l di mawanea biso̱ tombwane̱. Ka mbel’a moto ńe̱se̱, biso̱ pe̱ di be̱n yasu ndutu. Nde di so̱i ná, dangwa bupisane̱ bete̱sedi ba Bibe̱l di wanedi biso̱ minam jita. ( ) Ońola nika nde di malangweano̱ bape̱pe̱ mambo ma bwam di mokwano̱ o Bibe̱l tongwea na dikalo."
fr,dua,"Nos valeurs nous viennent de Dieu. Ces valeurs, contenues dans la Bible, favorisent le bien-être, le respect des autres et des qualités comme l’honnêteté et la gentillesse. Elles forment des citoyens productifs et équilibrés, et encouragent l’unité familiale et une bonne moralité. Convaincus que « Dieu n’est pas partial », nous nous considérons comme une famille internationale, sans frontières politiques ou raciales, unie par nos croyances. Nous sommes des gens ordinaires, mais, à nous tous, nous formons un peuple hors du commun ( ).","Di madangwa nde bupisane̱ bete̱sedi ba Loba. Bete̱sedi di mokwano̱ o Bibe̱l be mongwane̱ biso̱ o be̱ne̱ ja la bwam, o bola bape̱pe̱ edube, o be̱ mbale̱ na muyao. Be bete̱sedi be mabola ná di be̱ne̱ longe̱ la mbia la bwam, beka pe̱ biso̱ o be̱ne̱ bedangwedi ba bobe. Bia ná “Loba a titi ndando” di mongwane̱ biso̱ ná di be̱ mbia mulati o wase ńe̱se̱ tongwea na belēdi básu. Eyem’a bwambo to̱ politik ba si maba biso̱. Je tobotobo seto̱ ońola nje jeno̱, nde ońola mulatako masu.​— ."
fr,dua,Sous quels rapports les Témoins sont-​ils comme tout le monde ?,Nje Mboṅ a Yehova i be̱nno̱ ka mbel’a moto ńe̱se̱ e?
fr,dua,Quelles valeurs les Témoins ont-​ils apprises dans la Bible ?,Nje jokwa la Bibe̱l di mawaneano̱ biso̱ e?
fr,dua,"Avant 1931, nous portions le nom « Étudiants de la Bible ». Depuis, nous nous appelons Témoins de Jéhovah. Beaucoup pensent que c’est le nom d’une nouvelle religion. Pourtant, il y a plus de 2 700 ans, le seul vrai Dieu appelait déjà ses serviteurs ses « témoins » ( ).","Ebas’a Mboṅ a Yehova e titi ya peńa kana jita ba mo̱nge̱le̱no̱. Etum a ponda, o mińa ma muto̱ped’a mudī Yesaya, Loba mo̱me̱ne̱ a bele̱ baboledi bao ba mbale̱ ná “mboṅ.” ( ) Di belabe̱ ná Bokwe̱ Bibe̱l nate̱na o mbu ma 1931. Nde ońola nje di wengisane̱no̱ dina lasu, o no̱ngo̱ la Mboṅ a Yehova e?"
fr,dua,"Il montre qui est notre Dieu. Le nom de Dieu, Jéhovah, figurait des milliers de fois dans les manuscrits anciens de la Bible. Mais beaucoup de traductions l’ont remplacé par des titres tels qu’Éternel ou Seigneur. Or, le vrai Dieu s’est révélé à Moïse par son nom, Jéhovah, précisant : « C’est là mon nom pour toujours » ( ). Il se différenciait ainsi de tous les faux dieux. Nous sommes fiers de porter le saint nom de Dieu.","Di malee̱le̱ nja ńe Loba lasu. O Bibe̱l ya boso, Yehova, dina la Loba di maso̱be̱ oten lokoli la ngedi. O betukwedi ba Bibe̱l, jita ba wengisane̱ di dina na we̱le̱ o epol’ao beto̱ti ka Sango to̱so̱ Loba. Nde, Loba mo̱me̱ne̱ okwe̱le̱ Mose dina lao, Yehova, a yikiye̱ mo̱ ná: “dina lam din ońola bebe be̱se̱.” ( ) Nika e we̱le̱ diwengisan jombwea mo̱ na maloba ma mpoṅ. Je muńe̱nge̱ o bambe̱ dina la bosangi la Loba."
fr,dua,"Il indique notre mission. Une longue lignée d’hommes et de femmes fidèles, commençant par Abel, ont eu foi en Jéhovah et lui ont rendu témoignage. Au fil des siècles, Noé, Abraham, Sara, Moïse, David et d’autres ont rejoint cette « grande nuée de témoins » ( Hébreux 11:4–12:1 ). Un témoin peut attester l’innocence de quelqu’un devant un tribunal. Quant à nous, nous tenons à faire connaître la vérité sur Dieu.","Di mabīse̱ ebol’asu. Botea ponda nute̱m ná sim Abel, bato jita bate̱m ná sim ba bambe̱ dina la Yehova. Noa, Abraham, Sara, Mose, na David be o mu mulo̱ṅ ma di “diwindiwindi la mboṅ.” ( Bonahebe̱r 11:4–12:1 ) Kana moto eno̱ ná a be̱ mboṅ o ndabo a bekaisedi, o bwam ná njo̱m e si numabe̱ nupe̱pe̱, di mabola me̱se̱ ná mbale̱ e biane̱ jombwea Loba lasu."
