source_lang,target_lang,source_text,target_text
fr,ewo,"Nous nous posons tous des questions sur la vie, les souffrances, la mort ou l’avenir. Nous avons aussi des préoccupations liées à la vie de tous les jours : par exemple, comment combler les besoins matériels de notre famille et la rendre heureuse ? Beaucoup de personnes ont constaté que la Bible répond aux grandes questions de la vie, et qu’elle les aide aussi dans la vie de tous les jours. Et vous, pensez-vous que la Bible peut nous être utile ?","Bi bese bia kare sili minsili mia bebe énying, mindzug, awu, ngeki asu melu ma zu. Bia sang’en fe asu énying bia nying amos ose: ane akia afé bi ne dzali meyang’en ya nda bot dzaan ai na be nying a mebuguben. Abui bot a nga yen na Bibel a bele biyalen ya ngul minsili ya énying ai na a vòli bia asu énying dzaan ya mmos ose. Mfaa woé ye wò tsog na Bibel a ne wò dzam vòli ngaa?"
fr,ewo,"La Bible répond à ces questions importantes : Comment la vie est-elle apparue ? Pourquoi sommes-nous sur terre ? Pourquoi des innocents souffrent-ils ? Que se passe-t-il après la mort ? Alors que tout le monde veut vivre en paix, pourquoi y a-t-il autant de guerres ? Que va devenir la terre ? Il est normal de se poser ces questions. Et des millions de personnes ont trouvé que les réponses de la Bible sont convaincantes.","Bibel a yalen minsili mi: Éye énying é nga kèè ya? Amu dzé bi ne a si mu? Amu dzé mimbembe mibot mia toben ai mindzug? Dzé ya lot amvus awu mot? Mot ose a yi na a nying a mvòè, ve asu dzé bita bia nemen a si? Si ya yi veng’en dzé melu ma zu? É ne nfi na bi sili biabeben minsili mité. Abui a nga sòm biyalen ya minsili mité a Bibel."
fr,ewo,"La Bible contient d’excellents conseils. Par exemple, elle aide les familles à être vraiment heureuses. Elle donne des suggestions pour gérer son stress et pour trouver du plaisir dans son travail. Dans les pages qui suivent, vous découvrirez ce que la Bible enseigne sur ces sujets et sur bien d’autres. Vous constaterez certainement que ‘toute l’Écriture [c’est-à-dire tout ce que la Bible contient] peut vous être utile’ ( ).","Bibel a ve bia abeng melebega. Mvulna dzia é ne na, a vòli menda mebot na me tòbò a mintak. A ve fe melebega asu yi na te bia dang sang’en, ai akia afé bi ne bi mintak ésié dzaan. Ayègè di da yi bia vòli na bi bi biyalen Bibel a ve asu mam meté ai mam mefe fe. Bia yem na “ntilen ose [nala a tilen na é dzom ése é ne a Bibel] ya yi . . . wò bò nfi” ( )."
fr,ewo,"Cette publication vous encourage à étudier la Bible, mais elle ne la remplace pas. C’est pourquoi nous vous invitons à lire les versets indiqués dans les leçons et à les comparer avec ce que vous apprenez.","Nsò kalara wi wa yi wò vòli asu ayègè Bibel doé. Dzam da, a seki Bibel. Asu té ndò, bia banda wò na o lang bifus bi Bibel bise wò yi kòb a ayègè ase ai o yen fe akia ya bia toben ai é mam wò yègè."
fr,ewo,"Voyons comment la Bible a aidé des gens, ce que vous pouvez faire pour prendre plaisir à la lire, et pourquoi c’est plus facile de la comprendre quand quelqu’un nous aide.","Yene akia afé Bibel a nga vòli abui bot, dzé o ne dzam bò asu yi na o ding nyè lang, ai asu dzé a ne ébugubu ya wog éyòng mot a vòli wò."
fr,ewo,La Bible est comme une lampe puissante. Elle nous aide à prendre de bonnes décisions et elle nous éclaire sur ce que l’avenir nous réserve.,"Bibel a ne ane alamba la fiè abui. A vòli bia na bi nòng mimbembe mintsigen, a lerege fe bia mfiè asu melu ma zu."
fr,ewo,Lire et discuter de ces questions :,Lang’a ai yalen minsili mi tsaa mi:
fr,ewo,Qu’est-ce que le rédacteur de ce psaume pensait de la Bible ?,Akia afé ntil Salmen nyi a mbe yene Bibel?
fr,ewo,"Et vous, que pensez-vous de la Bible ?",Akia afé wò yen Bibel?
fr,ewo,Une femme a trouvé dans la Bible les réponses aux questions qu’elle se posait depuis de nombreuses années. Regarder la VIDÉO et discuter des questions qui suivent.,"Ai zen ya Bibel, mininga zing a nga bi biyalen ya minsili a mbe siligi émen abui mimbu ana. Bebege VIDÉO ai yalen minsili mi tsaa mi:"
