id,ewondo,francais,voiceFrancais
1,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_001.wav.ogg, bonjour ,c:\Users\hp\Desktop\MBOA\francais\audio_001.wav.ogg
2,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_002.wav.ogg, bonsoir ,c:\Users\hp\Desktop\MBOA\francais\audio_002.wav.ogg
3,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_003.wav.ogg, comment tu vas? ,c:\Users\hp\Desktop\MBOA\francais\audio_003.wav.ogg
4,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_004.wav.ogg, comment vous allez? ,c:\Users\hp\Desktop\MBOA\francais\audio_004.wav.ogg
5,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_005.wav.ogg, je vais bien merci et toi? ,c:\Users\hp\Desktop\MBOA\francais\audio_005.wav.ogg
6,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_006.wav.ogg, quel est ton nom? ,c:\Users\hp\Desktop\MBOA\francais\audio_006.wav.ogg
7,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_007.wav.ogg, comment tu t'appelles? ,c:\Users\hp\Desktop\MBOA\francais\audio_007.wav.ogg
8,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_008.wav.ogg, je m'appeles,c:\Users\hp\Desktop\MBOA\francais\audio_008.wav.ogg
9,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_009.wav.ogg, bienvenu chez nous ,c:\Users\hp\Desktop\MBOA\francais\audio_009.wav.ogg
10,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_010.wav.ogg, au revoir ,c:\Users\hp\Desktop\MBOA\francais\audio_010.wav.ogg
11,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_011.wav.ogg, a plus tard ,c:\Users\hp\Desktop\MBOA\francais\audio_011.wav.ogg
12,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_012.wav.ogg, a demain ,c:\Users\hp\Desktop\MBOA\francais\audio_012.wav.ogg
13,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_013.wav.ogg, merci beaucoup,c:\Users\hp\Desktop\MBOA\francais\audio_013.wav.ogg
14,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_014.wav.ogg, s'il te plait,c:\Users\hp\Desktop\MBOA\francais\audio_014.wav.ogg
15,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_015.wav.ogg, j'ai besoin d'aide ,c:\Users\hp\Desktop\MBOA\francais\audio_015.wav.ogg
16,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_016.wav.ogg, aidez moi ,c:\Users\hp\Desktop\MBOA\francais\audio_016.wav.ogg
17,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_017.wav.ogg, je suis malade ,c:\Users\hp\Desktop\MBOA\francais\audio_017.wav.ogg
18,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_018.wav.ogg, ou se trouve l'hopital? ,c:\Users\hp\Desktop\MBOA\francais\audio_018.wav.ogg
19,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_019.wav.ogg, le centre de sante le plus proche ,c:\Users\hp\Desktop\MBOA\francais\audio_019.wav.ogg
20,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_020.wav.ogg, j'ai mal a la tete ,c:\Users\hp\Desktop\MBOA\francais\audio_020.wav.ogg
21,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_021.wav.ogg, j'ai mal au ventre,c:\Users\hp\Desktop\MBOA\francais\audio_021.wav.ogg
22,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_022.wav.ogg, appelez un medecin,c:\Users\hp\Desktop\MBOA\francais\audio_022.wav.ogg
23,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_023.wav.ogg, appelez une ambulance,c:\Users\hp\Desktop\MBOA\francais\audio_023.wav.ogg
24,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_024.wav.ogg, j'ai eu un accident,c:\Users\hp\Desktop\MBOA\francais\audio_024.wav.ogg
25,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_025.wav.ogg, je cherche de l'eau propre,c:\Users\hp\Desktop\MBOA\francais\audio_025.wav.ogg
26,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_026.wav.ogg, ou sont les toilettes?,c:\Users\hp\Desktop\MBOA\francais\audio_026.wav.ogg
27,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_027.wav.ogg, c'est combien? ,c:\Users\hp\Desktop\MBOA\francais\audio_027.wav.ogg
28,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_028.wav.ogg, combien ca coute?,c:\Users\hp\Desktop\MBOA\francais\audio_028.wav.ogg
29,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_029.wav.ogg, diminue un peu le prix ,c:\Users\hp\Desktop\MBOA\francais\audio_029.wav.ogg
30,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_030.wav.ogg, fais moi un bon prix,c:\Users\hp\Desktop\MBOA\francais\audio_030.wav.ogg
31,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_031.wav.ogg, C'est trop cher,c:\Users\hp\Desktop\MBOA\francais\audio_031.wav.ogg
32,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_032.wav.ogg, je veux acheter du riz, du poisson, des plantains,c:\Users\hp\Desktop\MBOA\francais\audio_032.wav.ogg
33,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_033.wav.ogg, donnez moi ma monnaie,c:\Users\hp\Desktop\MBOA\francais\audio_033.wav.ogg
34,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_034.wav.ogg, est ce que tu as de la monnaie sur 5mil?,c:\Users\hp\Desktop\MBOA\francais\audio_034.wav.ogg
35,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_035.wav.ogg, je n'ai pas l'argent,c:\Users\hp\Desktop\MBOA\francais\audio_035.wav.ogg
